Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Sixty Minute Man,The Dominoes,Presenting the Dominoes, 1951,150146,4,0.765,0.505,3,-8.768,1,0.118,0.945,3.29E-05,0.191,0.857,130.985,45
I Am With You,The Dominoes,Sixty Minute Man, 1957,191933,4,0.503,0.344,7,-8.295,1,0.0481,0.966,0.000566,0.171,0.326,64.299,2
Do Something For Me,The Dominoes,Sixty Minute Man, 1956,184706,4,0.439,0.308,3,-6.75,1,0.0281,0.982,0,0.0807,0.323,67.533,3
The Bells,The Dominoes,Sixty Minute Man, 1957,197133,4,0.397,0.347,5,-11.156,1,0.0356,0.696,1.72E-06,0.0801,0.308,107.283,3
Oh My Love - Single Version,The Drifters,All-Time Greatest Hits & More 1959-1965, 1960,140426,4,0.426,0.24,4,-11.122,1,0.0308,0.698,0,0.394,0.393,98.613,13
There Goes My Baby,The Drifters,All-Time Greatest Hits & More 1959-1965, 1959,129613,5,0.241,0.564,6,-6.544,0,0.0347,0.591,0,0.704,0.642,77.378,44
I Count the Tears,The Drifters,Save the Last Dance for Me, 1960,129173,4,0.515,0.546,5,-8.769,1,0.0283,0.67,5.23E-05,0.544,0.861,138.796,34
Some Kind of Wonderful,The Drifters,Save the Last Dance for Me, 1961,140533,4,0.516,0.506,5,-9.043,1,0.0343,0.721,1.17E-06,0.176,0.622,121.292,49
Save the Last Dance for Me,The Drifters,Save the Last Dance for Me, 1960,154960,4,0.54,0.53,4,-10.583,1,0.0361,0.614,0,0.198,0.896,143.453,63
Dance with Me,The Drifters,The Drifters: Essentials, 1959,145546,4,0.426,0.44,5,-8.119,1,0.0296,0.355,0,0.154,0.537,131.336,28
This Magic Moment,The Drifters,The Drifters: Essentials, 1960,151560,3,0.271,0.599,0,-4.63,1,0.0326,0.455,3.08E-06,0.11,0.705,136.169,49
On Broadway,The Drifters,Under the Boardwalk, 1963,181213,4,0.738,0.356,1,-14.788,1,0.0341,0.548,0,0.248,0.862,108.58,41
Up on the Roof,The Drifters,Under the Boardwalk, 1962,157173,4,0.693,0.29,8,-17.501,1,0.0334,0.706,1.49E-05,0.137,0.92,121.795,56
Under the Boardwalk,The Drifters,Under the Boardwalk, 1964,161960,4,0.747,0.226,7,-13.635,1,0.0414,0.908,0.000168,0.107,0.778,123.792,67
If I Can't Have You [-],The Flamingos,Chicago Doo Wop Legends, 1959,175647,4,0.361,0.253,10,-10.741,1,0.0311,0.926,0,0.121,0.284,122.902,5
I Only Have Eyes for You,The Flamingos,Flamingo Serenade, 1959,202773,3,0.552,0.313,5,-12.41,1,0.0296,0.916,0.0017,0.12,0.303,88.554,66
Lovers Never Say Goodbye,The Flamingos,Playlist: The Best Of The Flamingos, 1959,173441,3,0.444,0.393,2,-9.805,1,0.0307,0.852,0,0.0927,0.257,92.928,28
I Was Such a Fool (To Fall in Love with You),The Flamingos,Requestfully Yours, 1959,170266,3,0.36,0.391,10,-12.613,1,0.0313,0.835,0,0.0847,0.224,99.076,12
The Vow,The Flamingos,The Flamingos, 1959,173640,4,0.398,0.15,3,-13.26,1,0.0478,0.979,5.27E-05,0.0974,0.418,72.67,8
A Kiss From Your Lips,The Flamingos,The Flamingos, 1959,181786,3,0.407,0.181,7,-16.264,1,0.0339,0.964,0.011,0.161,0.31,103.243,23
Jump Children (Vooit-Vooit),The Flamingos,The Flamingos Meet The Moonglows On The Dusty Road Of Hits, 1959,155400,4,0.566,0.472,8,-9.715,1,0.0366,0.435,0.016,0.0221,0.888,160.028,1
"That Lady, Pts. 1 & 2",The Isley Brothers,3+3, 1973,334386,4,0.344,0.769,5,-9.112,0,0.0606,0.261,0.000122,0.335,0.923,126.318,54
Smooth Sailin' Tonight - Single Version; Remastered,The Isley Brothers,"Bedroom Classics, Volume 3 [Digital Version]", 1980,239746,4,0.663,0.41,9,-11.848,1,0.0477,0.282,0,0.0987,0.528,76.291,37
Between the Sheets,The Isley Brothers,Between the Sheets, 1983,340013,4,0.719,0.377,9,-12.585,0,0.0974,0.661,0,0.0902,0.575,83.919,60
Who's That Lady - 1991 Remastered,The Isley Brothers,Complete United Artists Sessions, 1964,169333,4,0.638,0.449,0,-11.391,0,0.0531,0.225,0,0.121,0.608,134.993,34
Love the One You're With,The Isley Brothers,Givin' It Back, 1973,223520,4,0.75,0.78,4,-7.861,1,0.036,0.367,2.67E-06,0.153,0.738,94.864,51
Harvest for the World,The Isley Brothers,Harvest for the World, 1976,232946,4,0.64,0.565,7,-9.381,1,0.0378,0.414,0.000709,0.193,0.612,131.21,41
"Shout, Pts. 1 & 2",The Isley Brothers,Shout!, 1959,268560,4,0.489,0.866,10,-7.433,1,0.0933,0.753,0,0.876,0.416,138.63,57
"Fight the Power, Pts. 1 & 2",The Isley Brothers,The Heat Is On, 1975,319920,4,0.793,0.786,11,-7.449,0,0.175,0.121,0.0187,0.0673,0.83,126.548,37
"For the Love of You, Pts. 1 & 2",The Isley Brothers,The Heat Is On, 1975,339960,4,0.686,0.374,11,-11.029,0,0.0439,0.665,1.91E-05,0.101,0.693,102.879,57
Twist And Shout,The Isley Brothers,Twist & Shout, 1962,155400,4,0.774,0.811,5,-6.526,1,0.0355,0.65,0,0.0736,0.963,123.354,51
The Love You Save,The Jackson 5,ABC, 1970,179306,4,0.761,0.745,0,-8.509,1,0.0434,0.362,0,0.156,0.921,113.725,50
ABC,The Jackson 5,ABC, 1970,174866,4,0.574,0.786,8,-8.469,1,0.0641,0.519,0.000941,0.11,0.952,188.119,67
Dancing Machine,The Jackson 5,Dancing Machine, 1974,161813,4,0.776,0.794,6,-7.722,1,0.0723,0.133,2.35E-05,0.689,0.845,109.277,50
I Want You Back,The Jackson 5,Diana Ross Presents The Jackson 5, 1969,176333,4,0.469,0.538,8,-13.559,1,0.0575,0.305,0.000114,0.37,0.885,196.606,78
Never Can Say Goodbye,The Jackson 5,Maybe Tomorrow, 1971,179773,4,0.527,0.821,2,-7.19,1,0.047,0.337,1.68E-06,0.394,0.835,166.139,55
Who's Lovin' You - Stripped Mix,The Jackson 5,The Stripped Mixes, 1969,264560,3,0.385,0.26,7,-9.013,1,0.0297,0.935,0.0705,0.279,0.223,81.02,18
Don't Mess With Bill - Single Version,The Marvelettes,Deliver: The Singles 1961-1971, 1966,169533,4,0.675,0.522,2,-10.387,1,0.0328,0.324,0,0.12,0.547,116.191,29
Please Mr. Postman,The Marvelettes,"Forever: The Complete Motown Albums, Volume 1", 1961,149400,4,0.781,0.837,2,-5.245,1,0.0325,0.711,6.69E-06,0.0565,0.961,120.586,47
Beechwood 4-5789,The Marvelettes,Playboy, 1962,133613,4,0.631,0.67,2,-4.755,1,0.0336,0.68,0,0.167,0.972,138.273,37
Playboy,The Marvelettes,Playboy, 1961,164840,4,0.863,0.691,0,-5.611,1,0.0535,0.371,0,0.0597,0.916,123.757,38
Forever,The Marvelettes,Playboy, 1961,141746,3,0.573,0.431,0,-6.962,1,0.0292,0.938,0.00995,0.17,0.722,174.661,44
Please Mr. Postman - Single Version / Mono,The Marvelettes,Please Mr. Postman, 1961,148040,4,0.785,0.776,2,-5.259,1,0.0312,0.729,0,0.181,0.967,121.505,64
Too Many Fish In The Sea - Single Version,The Marvelettes,The Definitive Collection, 1964,148080,4,0.585,0.851,0,-4.35,1,0.0457,0.443,8.79E-05,0.0766,0.707,90.532,30
The Hunter Gets Captured By The Game,The Marvelettes,The Marvelettes, 1967,170946,4,0.665,0.367,11,-11.428,0,0.0318,0.323,1.93E-06,0.0768,0.702,115.069,30
When I'm With You,The Moonglows,Look! It's The Moonglows, 1957,154133,3,0.509,0.188,5,-14.568,1,0.0338,0.906,6.99E-06,0.12,0.397,111.914,9
See Saw,The Moonglows,The Best Of Bobby Lester And The Moonglows, 1958,145466,4,0.791,0.487,4,-8.184,0,0.0335,0.411,0,0.0834,0.688,102.82,10
Over And Over Again,The Moonglows,The Best Of Bobby Lester And The Moonglows, 1957,117200,4,0.567,0.232,0,-9.365,1,0.0283,0.867,0,0.105,0.564,77.67,12
Ten Commandments Of Love,The Moonglows,The Best Of Bobby Lester And The Moonglows, 1958,242880,3,0.364,0.115,3,-14.185,1,0.04,0.901,2.07E-05,0.213,0.272,175.809,24
Sincerely,The Moonglows,The Best Of Bobby Lester And The Moonglows, 1955,189946,4,0.424,0.24,3,-9.879,1,0.0312,0.856,0,0.0984,0.47,79.666,44
Back Stabbers,The O'Jays,Back Stabbers, 1972,186093,4,0.751,0.714,10,-11.614,1,0.0374,0.317,0,0.639,0.935,124.379,57
Love Train,The O'Jays,Back Stabbers, 1972,178400,4,0.743,0.572,0,-9.627,1,0.0493,0.186,1.44E-05,0.163,0.675,122.658,66
Stairway to Heaven,The O'Jays,Family Reunion (Expanded Edition), 1973,376466,4,0.411,0.407,0,-11.41,1,0.037,0.397,0.000938,0.696,0.34,114.373,42
I Love Music,The O'Jays,Family Reunion (Expanded Edition), 1975,413066,4,0.643,0.838,0,-8.063,0,0.0455,0.0523,6.15E-05,0.328,0.923,127.612,50
"Darlin' Darlin' Baby (Sweet, Tender, Love)",The O'Jays,Message In The Music, 1976,256239,4,0.668,0.739,2,-6.906,1,0.039,0.453,0,0.111,0.662,107.937,47
For the Love of Money,The O'Jays,Ship Ahoy (Expanded Edition), 1973,439866,4,0.679,0.802,0,-7.739,1,0.0406,0.236,2.33E-06,0.132,0.894,97.375,53
Use Ta Be My Girl,The O'Jays,So Full Of Love, 1978,240986,4,0.602,0.566,6,-7.677,1,0.0515,0.348,1.13E-06,0.343,0.843,112.478,41
Give the People What They Want,The O'Jays,Survival, 1975,250800,4,0.699,0.847,7,-6.035,0,0.249,0.0916,0,0.492,0.876,97.941,32
Only You - Re-Recorded,The Platters,Only You (Re-Recorded - Acapella),1955,165333,4,0.56,0.353,3,-4.497,1,0.0251,0.924,0,0.106,0.331,77.44,65
Harbor Lights,The Platters,Reflections, 1958,194866,4,0.26,0.29,5,-13.38,1,0.0293,0.913,0.000649,0.153,0.303,78.797,44
Enchanted,The Platters,The Magic Touch: An Anthology, 1959,172293,4,0.348,0.225,3,-13.889,1,0.0349,0.903,1.67E-06,0.209,0.286,78.541,34
Twilight Time,The Platters,The Magic Touch: An Anthology, 1958,165400,3,0.473,0.324,9,-13.663,1,0.0429,0.726,0,0.292,0.332,115.189,39
Smoke Gets In Your Eyes,The Platters,The Magic Touch: An Anthology, 1958,157760,4,0.334,0.247,3,-11.02,1,0.0299,0.936,8.77E-05,0.545,0.278,112.486,46
My Prayer,The Platters,The Platters, 1956,167800,3,0.359,0.272,10,-8.393,1,0.0294,0.812,0,0.095,0.254,109.249,52
The Great Pretender,The Platters,The Platters Golden Hits, 1955,157360,3,0.582,0.372,7,-9.476,1,0.0299,0.945,0,0.149,0.534,116.351,53
Only You (And You Alone),The Platters,The Platters Golden Hits, 1955,156560,4,0.34,0.308,3,-10.518,1,0.0284,0.935,0,0.135,0.336,79.923,61
Rock Me All Night Long,The Ravens,Count Every Star, 1955,163694,4,0.601,0.51,6,-9.226,1,0.0357,0.768,0.000647,0.291,0.76,75.436,6
Count Every Star,The Ravens,Old Man River, 1950,175600,3,0.317,0.217,7,-15.541,1,0.0333,0.968,2.3E-06,0.0972,0.42,140.487,19
It's Too Soon To Know,The Ravens,The Ravens: The Greatest Group Of Them All, 1949,184106,3,0.289,0.0551,4,-22.425,0,0.0418,0.995,0.311,0.167,0.261,175.334,0
Write Me A Letter,The Ravens,The Ravens: The Greatest Group Of Them All, 1950,172266,4,0.689,0.189,1,-17.845,1,0.0662,0.993,0.136,0.12,0.742,119.274,4
A Last Minute Miracle,The Shirelles,20 Greatest Hits, 1961,179400,4,0.561,0.845,4,-9.439,1,0.156,0.609,0,0.964,0.522,139.16,8
Mama Said,The Shirelles,Mama Said (There'd Be Days Like This), 1961,128800,4,0.669,0.64,8,-4.987,0,0.0625,0.573,0,0.295,0.935,140.317,39
I Met Him On A Sunday (Ronde-Ronde),The Shirelles,Teenage Heaven, 1958,136386,4,0.534,0.511,7,-8.56,1,0.0476,0.729,1.37E-06,0.0593,0.933,141.612,29
The Dance Is Over,The Shirelles,Tonight's The Night, 1961,146360,3,0.238,0.364,3,-6.684,1,0.0338,0.814,0,0.0868,0.289,181.892,34
Soldier Boy,The Shirelles,Will You Still Love Me Tomorrow, 1962,162026,4,0.576,0.238,10,-13.354,1,0.0259,0.755,0.00026,0.294,0.581,97.587,42
Baby It's You,The Shirelles,Will You Still Love Me Tomorrow, 1961,161000,4,0.643,0.384,7,-11.864,0,0.0282,0.701,4.15E-05,0.178,0.741,113.458,45
Dedicated To The One I Love,The Shirelles,Will You Still Love Me Tomorrow, 1959,124186,4,0.462,0.191,10,-11.901,1,0.0339,0.8,0,0.164,0.537,80.536,46
Will You Love Me Tomorrow,The Shirelles,Will You Still Love Me Tomorrow, 1960,160320,4,0.513,0.379,0,-9.679,1,0.0314,0.686,2.62E-05,0.417,0.509,135.756,64
Could It Be I’m Falling in Love,The Spinners,70s HITS - 100 Greatest Songs of the 1970s, 1972,249733,4,0.382,0.727,9,-6.677,0,0.0861,0.729,0,0.196,0.826,207.266,19
Mighty Love,The Spinners,Mighty Love, 1974,196653,4,0.816,0.631,7,-10.746,1,0.0541,0.585,0,0.477,0.718,110.497,39
Games People Play,The Spinners,Pick of the Litter, 1975,284133,4,0.675,0.45,11,-10.878,0,0.0381,0.529,0.00109,0.0632,0.634,76.195,44
"Working My Way Back to You / Forgive Me, Girl",The Spinners,Smooth And Sweet, 1979,245479,4,0.837,0.703,9,-9.385,0,0.0415,0.415,2.73E-05,0.153,0.914,121.556,42
Ghetto Child,The Spinners,Spinners, 1973,230719,4,0.647,0.405,2,-11.651,0,0.0292,0.387,2.82E-06,0.067,0.737,109.423,34
One of a Kind (Love Affair),The Spinners,Spinners, 1973,214146,4,0.608,0.428,1,-11.625,1,0.109,0.263,0,0.093,0.881,176.735,39
I'll Be Around,The Spinners,Spinners, 1972,188800,4,0.593,0.791,8,-8.698,0,0.068,0.175,0,0.0976,0.63,112.295,66
Then Came You,The Spinners,The Best of the Spinners, 1974,237453,4,0.816,0.791,9,-6.586,0,0.103,0.41,0,0.643,0.704,116.29,35
The Rubberband Man,The Spinners,The Rubberband Man / Now That We're Together, 1976,213000,4,0.801,0.446,10,-14.604,1,0.0745,0.74,0.038,0.0832,0.924,97.894,65
You Can't Hurry Love,The Supremes,Diamond Diana: The Legacy Collection, 1966,167933,4,0.46,0.767,10,-6.602,1,0.0723,0.112,0,0.0892,0.619,192.39,36
Reflections,The Supremes,Reflections (Expanded Edition), 1967,169893,4,0.687,0.45,1,-10.379,1,0.0258,0.273,0,0.0694,0.752,99.832,47
Back In My Arms Again,The Supremes,The Ultimate Collection: Diana Ross & The Supremes, 1965,177306,4,0.722,0.833,9,-1.316,0,0.0293,0.0623,0.00327,0.0663,0.695,121.229,12
My World Is Empty Without You,The Supremes,The Ultimate Collection: Diana Ross & The Supremes, 1965,152866,4,0.423,0.932,9,0.058,1,0.106,0.0497,0.000512,0.0996,0.472,90.516,14
I Hear A Symphony,The Supremes,The Ultimate Collection: Diana Ross & The Supremes, 1965,163573,4,0.513,0.719,2,-1.17,0,0.0305,0.68,0,0.14,0.408,140.536,17
Come See About Me,The Supremes,The Ultimate Collection: Diana Ross & The Supremes, 1964,161466,4,0.742,0.813,7,-2.047,1,0.0437,0.145,4.65E-05,0.139,0.679,125.906,18
Where Did Our Love Go,The Supremes,The Ultimate Collection: Diana Ross & The Supremes, 1964,153826,4,0.602,0.783,0,-1.05,1,0.0295,0.505,0,0.0655,0.75,135.985,18
Baby Love,The Supremes,The Ultimate Collection: Diana Ross & The Supremes, 1964,156106,4,0.548,0.837,1,-0.665,1,0.0356,0.365,0,0.11,0.641,135.315,19
Stop! In The Name Of Love,The Supremes,The Ultimate Collection: Diana Ross & The Supremes, 1965,173226,4,0.651,0.751,0,-1.107,1,0.0303,0.638,0,0.127,0.534,114.924,19
Love Child,The Supremes,The Ultimate Collection: Diana Ross & The Supremes, 1968,181573,4,0.574,0.96,9,-0.81,0,0.0456,0.125,2.27E-05,0.23,0.651,105.008,46
Ball Of Confusion (That's What The World Is Today),The Temptations,20th Century Masters, 1970,246200,4,0.529,0.735,5,-8.153,1,0.0896,0.238,0,0.102,0.862,79.002,45
Papa Was A Rollin' Stone - Single Version,The Temptations,20th Century Masters, 1972,419640,4,0.817,0.405,10,-13.513,0,0.0811,0.451,0.0507,0.0468,0.898,121.467,64
Cloud Nine,The Temptations,Cloud Nine, 1969,211693,4,0.736,0.45,7,-14.104,1,0.0583,0.354,0,0.0689,0.82,118.042,40
Get Ready,The Temptations,Gettin' Ready (Expanded Edition), 1966,164160,4,0.591,0.737,7,-5.867,1,0.0386,0.404,0,0.108,0.878,133.025,61
Ain't Too Proud To Beg,The Temptations,Gettin' Ready (Expanded Edition), 1966,156173,4,0.763,0.655,0,-6.86,1,0.0417,0.552,0,0.125,0.925,118.397,65
The Way You Do The Things You Do,The Temptations,Meet The Temptations, 1964,165744,4,0.618,0.704,4,-4.686,1,0.0321,0.159,0.000264,0.358,0.742,124.218,57
I Can't Get Next To You,The Temptations,Puzzle People, 1969,174933,4,0.693,0.687,5,-12.909,1,0.0973,0.575,0,0.398,0.699,108.854,50
Just My Imagination (Running Away With Me),The Temptations,Sky's The Limit, 1971,228160,4,0.425,0.242,0,-15.424,1,0.0267,0.88,0.0118,0.195,0.477,92.472,63
My Girl,The Temptations,The Temptations Sing Smokey, 1964,165000,4,0.574,0.418,0,-10.739,1,0.0345,0.636,0,0.0961,0.692,104.57,82
I Wish It Would Rain,The Temptations,Wish It Would Rain, 1967,162706,4,0.388,0.449,3,-12.584,1,0.088,0.443,0,0.265,0.692,179.651,52
Let's Stay Together,Tina Turner,All The Best, 1983,318693,4,0.427,0.791,8,-5.654,0,0.078,0.572,0.000537,0.129,0.462,102.389,40
The Best,Tina Turner,All The Best, 1989,330253,4,0.651,0.87,0,-5.149,1,0.0318,0.103,0.00815,0.0979,0.729,103.857,63
Typical Male,Tina Turner,Break Every Rule, 1986,256826,4,0.762,0.745,1,-7.772,0,0.0407,0.0172,0.0137,0.0612,0.794,106.013,48
Private Dancer - 2015 Remaster,Tina Turner,Private Dancer (30th Anniversary Issue),1984,434373,4,0.587,0.572,2,-9.656,1,0.0412,0.363,0.0883,0.0914,0.472,115.464,59
We Don't Need Another Hero (Thunderdome),Tina Turner,Private Dancer (30th Anniversary Issue), 1985,255186,4,0.69,0.674,8,-5.866,0,0.0471,0.201,0.00612,0.114,0.713,98.851,64
River Deep - Mountain High,Tina Turner,River Deep-Mountain High, 1966,214880,4,0.389,0.745,3,-6.998,1,0.0384,0.777,0.00159,0.143,0.271,83.037,52
I Can't Stand the Rain,Tina Turner,Simply the Best, 1984,223160,4,0.769,0.667,8,-8.272,1,0.0796,0.122,0.000361,0.0373,0.843,88.281,46
Better Be Good to Me,Tina Turner,Tina!, 1984,310866,4,0.709,0.807,8,-4.717,1,0.0455,0.0289,0.00829,0.105,0.736,120.717,45
Proud Mary,Tina Turner,What's Love Got to Do with It?,1971,327400,4,0.397,0.499,2,-10.972,1,0.0685,0.0766,1.55E-06,0.111,0.367,171.067,67
What's Love Got to Do with It,Tina Turner,What's Love Got to Do with It?, 1984,226880,4,0.851,0.406,1,-11.631,1,0.0661,0.219,6.41E-06,0.0853,0.792,97.84,67
Hands Up,TLC,3D, 1999,228693,4,0.767,0.567,2,-7.501,0,0.0351,0.274,0,0.192,0.727,101.915,32
Diggin' On You,TLC,Crazysexycool, 1994,254560,4,0.719,0.631,6,-7.411,1,0.0451,0.0235,0.702,0.0686,0.456,80.127,54
Red Light Special,TLC,Crazysexycool, 1994,303960,3,0.52,0.449,5,-8.957,0,0.0331,0.205,0.000687,0.191,0.364,189.243,55
Creep,TLC,Crazysexycool, 1994,268533,4,0.811,0.458,5,-9.688,0,0.0402,0.0193,1.41E-06,0.0526,0.797,92.94,66
Waterfalls,TLC,Crazysexycool, 1995,279506,4,0.769,0.505,1,-7.345,1,0.0829,0.311,7.49E-05,0.0777,0.757,171.804,74
Unpretty,TLC,Fanmail, 1999,278066,4,0.648,0.622,7,-6.063,1,0.0428,0.00152,5.97E-05,0.109,0.51,88.684,61
No Scrubs,TLC,Fanmail, 1999,214400,4,0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909,83
Ain't 2 Proud 2 Beg,TLC,Ooooooohhh... On The TLC Tip, 1992,336560,4,0.674,0.707,10,-10.799,0,0.0343,0.00265,0.00213,0.352,0.712,104.855,44
What About Your Friends,TLC,Ooooooohhh... On The TLC Tip, 1992,293600,4,0.744,0.851,10,-10.108,0,0.049,0.0267,0.00738,0.0989,0.626,105.882,50
U Got It Bad,USHER,8701, 2001,247840,4,0.816,0.5,1,-4.551,1,0.03,0.0227,1.53E-06,0.0733,0.649,124.037,71
U Remind Me,USHER,8701, 2001,266893,4,0.657,0.629,6,-4.938,1,0.0782,0.194,0,0.254,0.726,93.985,72
Seduction,USHER,Confessions (Expanded Edition), 2001,273760,4,0.797,0.538,8,-6.006,1,0.0608,0.0541,7.79E-06,0.0899,0.5,128.068,50
Can U Handle It?,USHER,Confessions (Expanded Edition), 2004,279360,4,0.754,0.319,0,-8.773,1,0.0464,0.425,1.1E-06,0.127,0.382,129.858,52
Confessions Part II,USHER,Confessions (Expanded Edition), 2004,211200,4,0.845,0.467,1,-7.674,1,0.138,0.0586,0,0.0694,0.702,138.007,71
Burn,USHER,Confessions (Expanded Edition), 2004,231933,4,0.796,0.477,1,-7.161,1,0.108,0.314,0,0.12,0.685,119.928,72
My Boo,USHER,Confessions (Expanded Edition), 2004,223440,4,0.662,0.507,5,-8.238,1,0.118,0.257,0,0.0465,0.676,86.412,80
Yeah! (feat. Lil Jon & Ludacris),USHER,Confessions (Expanded Edition), 2004,250373,4,0.894,0.791,2,-4.699,1,0.112,0.0183,0,0.0388,0.583,105.018,85
Climax,USHER,Looking 4 Myself (Expanded Edition), 2012,232906,4,0.647,0.478,8,-8.837,1,0.0782,0.547,2.69E-05,0.156,0.333,135.877,59
DJ Got Us Fallin' In Love (feat. Pitbull),USHER,Raymond v Raymond (Expanded Edition), 2010,220800,4,0.663,0.861,7,-3.398,0,0.109,0.0338,0,0.082,0.654,119.963,83
All Day Music,War,All Day Music, 1971,248200,4,0.489,0.479,11,-11.888,0,0.0329,0.147,0.000666,0.107,0.517,108.201,46
The World Is A Ghetto,War,Anthology 1970-1974, 1972,244360,4,0.682,0.404,6,-12.51,0,0.0493,0.0367,0.000117,0.144,0.401,91.582,36
Summer,War,Anthology 1970-1974, 1976,396840,4,0.628,0.415,7,-12.552,1,0.0339,0.293,0.00029,0.0877,0.687,105.138,42
Spill the Wine,War,Anthology 1970-1974, 1970,246333,4,0.818,0.475,2,-12.88,0,0.0708,0.471,0,0.0943,0.902,120.378,54
Gypsy Man,War,Deliver the Word, 1971,323626,4,0.523,0.688,9,-8.442,0,0.0557,0.00511,0.195,0.259,0.778,126.921,25
Me And Baby Brother,War,Deliver the Word, 1973,207333,4,0.783,0.762,2,-9.585,1,0.035,0.11,0.000832,0.102,0.898,113.856,36
Slippin' Into Darkness,War,Greatest Hits, 1971,227373,4,0.676,0.625,4,-8.747,0,0.0729,0.144,0.00658,0.0796,0.655,90.999,49
The Cisco Kid,War,Greatest Hits, 1973,227720,4,0.849,0.843,9,-7.154,0,0.105,0.209,0.00292,0.0309,0.963,141.926,51
Why Can't We Be Friends,War,Why Can't We Be Friends?, 1975,230106,4,0.776,0.68,10,-10.088,1,0.0389,0.179,0,0.483,0.962,92.481,61
Low Rider,War,Why Can't We Be Friends?, 1975,190826,4,0.812,0.644,0,-10.761,1,0.0493,0.0877,0.785,0.0563,0.989,140.075,70
I'm Every Woman,Whitney Houston,The Bodyguard - Original Soundtrack Album, 1992,285106,4,0.665,0.847,5,-8.314,0,0.0535,0.0178,0.00288,0.126,0.4,119.555,60
Run to You,Whitney Houston,The Bodyguard - Original Soundtrack Album, 1992,264333,4,0.368,0.364,8,-10.21,1,0.0318,0.628,0,0.157,0.131,76.923,63
I Will Always Love You,Whitney Houston,The Bodyguard - Original Soundtrack Album, 1992,271093,4,0.332,0.214,4,-12.518,1,0.0349,0.845,5.62E-06,0.0839,0.11,67.531,76
So Emotional,Whitney Houston,Whitney, 1987,276666,4,0.698,0.791,11,-10.012,0,0.0495,0.271,4.74E-05,0.199,0.809,119.081,57
Didn't We Almost Have It All,Whitney Houston,Whitney, 1987,305066,4,0.54,0.49,10,-10.151,1,0.027,0.414,0.000896,0.142,0.336,130.992,61
Where Do Broken Hearts Go,Whitney Houston,Whitney, 1988,277600,4,0.462,0.385,2,-12.173,1,0.0291,0.635,0,0.0682,0.244,61.876,65
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,Whitney, 1987,291293,4,0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.818,83
Greatest Love of All,Whitney Houston,Whitney Houston, 1985,291400,4,0.502,0.305,9,-16.011,1,0.0339,0.484,3.55E-06,0.117,0.248,131.242,68
Saving All My Love for You,Whitney Houston,Whitney Houston, 1985,238466,3,0.636,0.264,6,-14.567,0,0.0263,0.593,4.22E-05,0.275,0.264,99.304,68
How Will I Know,Whitney Houston,Whitney Houston, 1985,275533,4,0.832,0.544,6,-12.697,1,0.0442,0.201,0.000139,0.632,0.928,119.49,70
"Don't Knock My Love, Pt. 1 - 2006 Remaster; Single Version",Wilson Pickett,Don't Knock My Love,1968,136293,4,0.731,0.518,7,-14.753,0,0.0293,0.445,0,0.0884,0.954,107.669,16
She's Lookin' Good,Wilson Pickett,I'm in Love, 1968,146640,4,0.827,0.65,9,-11.995,1,0.0515,0.0694,0.000249,0.0994,0.978,148.932,22
Engine Number 9 - Single Version,Wilson Pickett,In Philadelphia, 1966,171600,4,0.577,0.853,10,-8.097,0,0.112,0.00585,0.00699,0.0612,0.882,191.255,37
I Found a Love - Single Version,Wilson Pickett,In the Midnight Hour, 1963,179640,3,0.258,0.618,7,-9.904,1,0.0468,0.432,0,0.3,0.582,180.002,20
In the Midnight Hour,Wilson Pickett,In the Midnight Hour, 1965,157160,4,0.75,0.444,4,-8.63,1,0.0403,0.12,3.69E-06,0.118,0.849,111.919,64
634-5789,Wilson Pickett,The Exciting Wilson Pickett, 1966,178586,4,0.647,0.388,2,-11.92,1,0.0407,0.31,0.000701,0.792,0.765,103.246,36
Ninety-Nine and One-Half (Won't Do),Wilson Pickett,The Exciting Wilson Pickett, 1966,157880,4,0.869,0.515,9,-10.261,1,0.043,0.456,0.000745,0.0746,0.953,102.702,41
Land of 1000 Dances,Wilson Pickett,The Exciting Wilson Pickett, 1966,146973,4,0.618,0.588,2,-11.624,1,0.0735,0.0128,0.0266,0.351,0.768,86.903,64
Funky Broadway,Wilson Pickett,The Sound of Wilson Pickett, 1967,156893,4,0.705,0.349,9,-16.017,1,0.0411,0.0702,0.00181,0.0786,0.95,121.064,37
Mustang Sally,Wilson Pickett,The Wicked Pickett, 1966,187760,4,0.725,0.327,0,-17.714,1,0.0387,0.113,0.326,0.214,0.688,110.438,57
Drinkin’ Wine Spo-Dee-O-Dee,Wynonie Harris,28 Big Ones, 1949,147346,4,0.626,0.332,10,-14.771,0,0.475,0.944,7.25E-05,0.491,0.923,173.994,17
Shake That Thing,Wynonie Harris,28 Big Ones, 1950,135853,4,0.622,0.517,4,-10.509,1,0.0327,0.748,0,0.143,0.903,139.193,28
Grandma Plays The Numbers,Wynonie Harris,28 Big Ones, 1951,155693,4,0.576,0.677,8,-11.018,1,0.14,0.848,0.000573,0.0835,0.68,159.068,46
