Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Mama He Treats Your Daughter Mean,Ruth Brown,Ruth Brown, 1953,176386,4,0.807,0.189,8,-15.549,1,0.124,0.478,0,0.0722,0.849,122.908,35
5-10-15 Hours,Ruth Brown,Ruth Brown, 1952,195466,4,0.859,0.244,5,-13.397,1,0.0562,0.765,0,0.126,0.875,121.962,41
I Want to Do More,Ruth Brown,The Essentials: Ruth Brown, 1956,172546,4,0.775,0.508,0,-8.395,1,0.0718,0.534,0,0.162,0.787,175.35,18
I Don't Know,Ruth Brown,The Essentials: Ruth Brown, 1956,173733,4,0.727,0.296,8,-7.851,1,0.0381,0.642,0.00195,0.0815,0.592,101.006,46
Smooth Operator,Sade,Diamond Life, 1984,298893,4,0.794,0.559,9,-6.491,0,0.0319,0.367,0.0107,0.0371,0.963,119.81,59
Cherish the Day,Sade,Love Deluxe, 1992,332133,4,0.68,0.389,8,-13.239,1,0.0545,0.0121,0.0834,0.105,0.68,80.145,61
No Ordinary Love,Sade,Love Deluxe, 1992,440466,4,0.629,0.364,11,-12.259,0,0.038,0.467,0.0204,0.0941,0.701,166.266,68
By Your Side,Sade,Lovers Rock, 2000,274933,4,0.653,0.429,11,-10.473,1,0.0297,0.0849,0.00371,0.0693,0.627,146.073,71
Soldier of Love,Sade,Soldier of Love, 2010,356653,4,0.775,0.572,0,-8.427,0,0.0633,0.0117,0.0293,0.0847,0.64,90.023,50
Love Is Stronger Than Pride,Sade,The Best of Sade, 1988,258226,4,0.595,0.34,4,-12.362,0,0.0288,0.813,0.000298,0.0946,0.292,87.557,54
The Sweetest Taboo,Sade,The Best of Sade, 1985,276640,4,0.75,0.79,10,-9.696,0,0.0463,0.125,0.00904,0.317,0.96,91.633,58
Your Love Is King,Sade,The Best of Sade, 1984,219893,3,0.741,0.421,9,-6.789,1,0.0303,0.577,7.19E-05,0.0374,0.595,134.621,59
Is It a Crime,Sade,The Best of Sade, 1985,381560,3,0.45,0.376,5,-10.398,0,0.033,0.223,0.00489,0.184,0.542,122.427,64
Paradise,Sade,The Best of Sade, 1988,217466,4,0.738,0.792,1,-7.873,1,0.0378,0.309,0.39,0.0679,0.968,99.817,68
I Got Everything I Need,Sam & Dave,"Hold On, I'm Comin'", 1966,178706,3,0.488,0.164,2,-16.052,1,0.0365,0.507,3.84E-05,0.0785,0.485,154.021,26
I Take What I Want - Mono,Sam & Dave,"Hold On, I'm Comin'", 1965,154760,4,0.738,0.416,2,-12.06,1,0.0634,0.437,0.000102,0.136,0.873,88.558,26
"Hold On, I'm Comin'",Sam & Dave,"Hold On, I'm Comin'", 1966,155706,4,0.803,0.338,6,-14.029,1,0.0349,0.196,0.038,0.097,0.912,106.841,71
Wrap It Up - LP / Single Version,Sam & Dave,I Thank You, 1968,150760,4,0.787,0.362,1,-12.397,1,0.06,0.589,1.03E-06,0.083,0.738,112.872,39
Soul Man,Sam & Dave,Soul Men, 1967,159000,4,0.79,0.41,0,-13.241,1,0.0343,0.263,0.00314,0.174,0.815,112.345,69
You Don't Know What You Mean to Me,Sam & Dave,The Best of Sam & Dave, 1968,130039,4,0.704,0.695,1,-8.286,1,0.0452,0.648,0,0.134,0.958,121.886,19
When Something Is Wrong with My Baby,Sam & Dave,The Best of Sam & Dave, 1967,194106,3,0.376,0.477,1,-5.661,1,0.0304,0.148,0.000425,0.0384,0.347,138.923,41
Soothe Me,Sam & Dave,The Best of Sam & Dave, 1962,152333,4,0.746,0.334,6,-13.418,1,0.13,0.395,0.00793,0.258,0.68,126.099,49
You Don't Know Like I Know,Sam & Dave,The Soul Classics, 1966,156613,4,0.858,0.751,0,-5.134,0,0.0304,0.128,0.0408,0.101,0.907,121.148,7
I Thank You,Sam & Dave,The Soul Classics, 1968,178493,4,0.939,0.529,3,-8.271,0,0.0638,0.192,0.00175,0.0597,0.831,120.448,13
A Change Is Gonna Come,Sam Cooke,A Change Is Gonna Come, 1964,191320,5,0.276,0.394,10,-10.04,1,0.0334,0.732,0,0.292,0.486,138.561,46
Another Saturday Night,Sam Cooke,Ain't That Good News, 1963,161920,4,0.775,0.653,9,-7.865,1,0.0512,0.423,0,0.108,0.969,123.135,49
Having a Party,Sam Cooke,The Best of Sam Cooke, 1962,157296,4,0.526,0.555,7,-9.523,0,0.0456,0.532,0,0.388,0.736,123.615,39
You Send Me,Sam Cooke,The Best of Sam Cooke, 1957,164675,4,0.566,0.264,4,-12.126,0,0.0294,0.876,0,0.122,0.456,95.941,43
Cupid,Sam Cooke,The Best of Sam Cooke, 1961,158013,4,0.485,0.433,7,-10.503,1,0.0342,0.476,0,0.0861,0.825,120.471,50
Chain Gang,Sam Cooke,The Man Who Invented Soul, 1960,160000,4,0.698,0.661,7,-9.674,1,0.0416,0.636,0,0.228,0.824,131.808,44
Bring It On Home to Me,Sam Cooke,The Man Who Invented Soul, 1962,162533,4,0.523,0.402,0,-8.233,1,0.0305,0.778,0,0.432,0.675,70.863,62
(What A) Wonderful World,Sam Cooke,The Man Who Invented Soul, 1960,125440,4,0.691,0.507,11,-10.23,1,0.0343,0.627,0,0.457,0.885,128.518,63
Twistin' the Night Away,Sam Cooke,Twistin' the Night Away, 1962,159853,4,0.458,0.801,9,-7.83,1,0.0565,0.691,0,0.328,0.93,160.547,60
Dance to the Music,Sly & The Family Stone,Dance To The Music, 1968,179426,4,0.703,0.529,7,-11.112,1,0.1,0.0168,0.00057,0.911,0.772,128.059,56
If You Want Me to Stay,Sly & The Family Stone,Fresh, 1973,180493,4,0.843,0.48,11,-11.574,0,0.0492,0.28,0.000782,0.108,0.762,101.993,63
Hot Fun in the Summertime,Sly & The Family Stone,Greatest Hits, 1969,157040,3,0.656,0.65,0,-11.643,1,0.0574,0.634,0.0147,0.161,0.931,146.268,50
Thank You (Falettinme Be Mice Elf Agin) - Single Version,Sly & The Family Stone,Greatest Hits, 1969,291320,4,0.9,0.709,9,-12.683,1,0.0636,0.296,0.00047,0.0863,0.897,105.822,54
I Want to Take You Higher,Sly & The Family Stone,Stand, 1969,322360,4,0.613,0.844,9,-10.147,1,0.0553,0.123,0.761,0.308,0.519,102.773,41
Everyday People,Sly & The Family Stone,Stand, 1968,141506,4,0.807,0.497,7,-10.656,1,0.0297,0.307,0.0327,0.043,0.765,114.524,64
Runnin' Away - Single Version,Sly & The Family Stone,There's a Riot Goin' On, 1971,177800,4,0.857,0.645,3,-11.397,0,0.0574,0.655,0.0297,0.11,0.961,103.847,34
Family Affair - Single Version,Sly & The Family Stone,There's a Riot Goin' On, 1971,185533,4,0.819,0.605,2,-13.83,0,0.132,0.669,0.0163,0.199,0.797,108.892,51
Shop Around,Smokey Robinson & The Miracles,20th Century Masters, 1960,170560,4,0.563,0.689,7,-5.66,1,0.0293,0.607,0,0.753,0.874,132.448,14
Love Machine,Smokey Robinson & The Miracles,20th Century Masters, 1975,413466,4,0.781,0.881,7,-10.343,0,0.055,0.0228,0.00134,0.0284,0.82,145.051,18
The Tracks Of My Tears,Smokey Robinson & The Miracles,Going To A Go-Go, 1965,174360,4,0.502,0.333,7,-10.914,1,0.0264,0.699,0,0.222,0.729,96.982,62
