artist_name,track_name,album_name,is_explicit,genres,release_date,track_id,danceability,valence,energy,loudness,acousticness,instrumentalness,liveness,speechiness,key,tempo,mode,duration_ms,time_signature
Beyonc̩,I'M THAT GIRL,RENAISSANCE,TRUE,"pop, r&b",29/07/2022,1MpCaOeUWhox2Fgigbe1cL,0.554,0.136,0.535,-8.959,0.0616,1.32e-05,0.124,0.186,5,105.865,0,208014,4
Beyonc̩,COZY,RENAISSANCE,TRUE,"pop, r&b",29/07/2022,0mKGwFMHzTprtS2vpR3b6s,0.556,0.367,0.63,-8.15,0.000828,0.00468,0.155,0.102,7,149.147,1,210372,5
Beyonc̩,ALIEN SUPERSTAR,RENAISSANCE,TRUE,"pop, r&b",29/07/2022,1Hohk6AufHZOrrhMXZppax,0.545,0.464,0.641,-6.398,0.00453,6.59e-05,0.171,0.0998,10,121.892,0,215460,4
Beyonc̩,CUFF IT,RENAISSANCE,TRUE,"pop, r&b",29/07/2022,1xzi1Jcr7mEi9K2RfzLOqS,0.78,0.642,0.689,-5.668,0.0368,9.69e-06,0.0698,0.141,7,115.042,1,225389,4
"Beyonc̩, BEAM",ENERGY (feat. Beam),RENAISSANCE,FALSE,"pop, r&b",29/07/2022,0314PeD1sQNonfVWix3B2K,0.903,0.587,0.519,-9.151,0.281,0.000106,0.155,0.26,1,114.991,1,116727,4
Beyonc̩,BREAK MY SOUL,RENAISSANCE,FALSE,"pop, r&b",29/07/2022,5pyoxDZ1PX0KxBxiRVxA4U,0.693,0.864,0.887,-5.039,0.0581,2.71e-06,0.27,0.0795,1,114.942,0,278282,4
Beyonc̩,CHURCH GIRL,RENAISSANCE,TRUE,"pop, r&b",29/07/2022,2mqTtvbKxH7SoEQ2oGAnsA,0.792,0.22,0.919,-5.688,0.0381,5.1e-06,0.368,0.276,2,92.028,1,224473,4
Beyonc̩,PLASTIC OFF THE SOFA,RENAISSANCE,FALSE,"pop, r&b",29/07/2022,6ufcuVInt0ocHrUimDjGlb,0.618,0.305,0.712,-8.246,0.14,4.53e-06,0.575,0.114,1,97.057,1,254319,4
Beyonc̩,VIRGO'S GROOVE,RENAISSANCE,TRUE,"pop, r&b",29/07/2022,0Fl4eWzVaMUOdXcOrj6F1q,0.683,0.598,0.85,-5.042,0.0781,1.09e-06,0.741,0.0699,11,107.988,0,368758,4
"Beyonc̩, Grace Jones, Tems",MOVE (feat. Grace Jones & Tems),RENAISSANCE,FALSE,"pop, r&b",29/07/2022,5YLGlPYkZBDXieMwzVve7g,0.876,0.809,0.628,-6.595,0.0165,0.0339,0.0938,0.0935,1,118.028,1,203383,4
Beyonc̩,HEATED,RENAISSANCE,TRUE,"pop, r&b",29/07/2022,1w7cgGZR86yWz1pA2puVJD,0.785,0.496,0.732,-5.724,0.0636,0.000807,0.265,0.164,1,110.952,1,260771,4
Beyonc̩,THIQUE,RENAISSANCE,TRUE,"pop, r&b",29/07/2022,1LCm0lFnEsxR2oPqyHLGX9,0.823,0.537,0.536,-10.123,0.0616,0.0143,0.326,0.319,5,128.955,0,244792,4
Beyonc̩,ALL UP IN YOUR MIND,RENAISSANCE,TRUE,"pop, r&b",29/07/2022,3k4CoiIQXiNBrwrmbBMDxj,0.744,0.0805,0.577,-7.228,0.0672,3.06e-06,0.178,0.0631,9,135.869,1,169820,4
Beyonc̩,AMERICA HAS A PROBLEM,RENAISSANCE,TRUE,"pop, r&b",29/07/2022,2XMAWynSTIst5KmLSv0Npf,0.789,0.108,0.614,-6.491,0.00348,0.00152,0.283,0.0579,1,126.035,1,198898,4
Beyonc̩,PURE/HONEY,RENAISSANCE,TRUE,"pop, r&b",29/07/2022,4DByEumlGTZKSzuVEZ35eo,0.857,0.453,0.558,-7.888,0.0122,4.8e-05,0.288,0.134,1,123.973,1,288255,4
Beyonc̩,SUMMER RENAISSANCE,RENAISSANCE,TRUE,"pop, r&b",29/07/2022,3HyR1j49TY5ACP2lseF1jx,0.674,0.208,0.625,-9.593,0.0843,0.0015,0.11,0.0514,1,120.004,1,273998,4
