Track Name,Artist,Album,Genre,Release Year
Love Like This,Faith Evans,Keep the Faith,R&B/Soul,1998
My Love Is Your Love,Whitney Houston,The Ultimate Collection,R&B/Soul,1998
More Than A Woman,Aaliyah,Aaliyah,R&B/Soul,2001
All Night,Beyoncé,Lemonade,Pop,2016
Be With You,Beyoncé,Dangerously in Love,Pop,2003
I'm Goin' Down,Mary J. Blige,My Life (Bonus Track Version),R&B/Soul,1994
No More Drama,Mary J. Blige,No More Drama (Version 2),R&B/Soul,2001
Genie in a Bottle,Christina Aguilera,Christina Aguilera (Expanded Edition),Pop,1999
Beyoncé Interlude,Beyoncé,Dangerously in Love,Pop,2003
Gift from Virgo,Beyoncé,Dangerously in Love,Pop,2003
Dance For You,Beyoncé,4 (Expanded Edition),Pop,2011
U Got It Bad,USHER,8701,R&B/Soul,2001
Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,For All The Dogs,R&B/Soul,2023
Rather Die Young,Beyoncé,4 (Expanded Edition),Pop,2011
It's a Wrap,Mariah Carey,Memoirs of an Imperfect Angel (Special Edition),R&B/Soul,2009
Up Out My Face,Mariah Carey,Memoirs of an Imperfect Angel (Special Edition),R&B/Soul,2009
Be Without You (Kendu Mix),Mary J. Blige,The Breakthrough (Deluxe),R&B/Soul,2005
BODYGUARD,Beyoncé,COWBOY CARTER,R&B/Soul,2024
YA YA,Beyoncé,COWBOY CARTER,R&B/Soul,2024
So Good,Destiny's Child,The Writing's On the Wall,R&B/Soul,1999
Saturn,SZA,Saturn - Single,R&B/Soul,2024
You the Boss (feat. Nicki Minaj),Rick Ross,You the Boss (feat. Nicki Minaj) - Single,R&B/Soul,2011
Heartbreaker (feat. JAY-Z),Mariah Carey,Rainbow,Pop,1999
Just The Memories,Nicki Minaj,Pink Friday 2,R&B/Soul,2023
Fallin 4 U,Nicki Minaj,Pink Friday 2,R&B/Soul,2023
Dirrty (feat. Redman),Christina Aguilera,Stripped,Pop,2002
II MOST WANTED,Beyoncé & Miley Cyrus,COWBOY CARTER,R&B/Soul,2024
ALREADY,"Beyoncé, Shatta Wale & Major Lazer",The Lion King: The Gift,R&B/Soul,2019
FIND YOUR WAY BACK,Beyoncé,The Lion King: The Gift,R&B/Soul,2019
Your Love,Nicki Minaj,Pink Friday (Complete Edition),R&B/Soul,2010
You Da One,Rihanna,Talk That Talk (Deluxe),Pop,2011
1 Thing,Amerie,Touch,R&B/Soul,2005
24K Magic,Bruno Mars,24K Magic - Single,Pop,2016
Uptown Funk (feat. Bruno Mars),Mark Ronson,Uptown Special,Pop,2014
Locked Out of Heaven,Bruno Mars,Unorthodox Jukebox,Pop,2012
That’s What I Like,Bruno Mars,24K Magic,Pop,2016
Grenade,Bruno Mars,Doo-Wops & Hooligans (Deluxe),Pop,2010
Somewhere In Brooklyn,Bruno Mars,Doo-Wops & Hooligans (Deluxe),Pop,2010
Die With A Smile,Lady Gaga & Bruno Mars,Die With A Smile - Single,Pop,2024
Take Care (feat. Rihanna),Drake,Take Care (Deluxe Version),R&B/Soul,2011
LEVII'S JEANS,Beyoncé & Post Malone,COWBOY CARTER,R&B/Soul,2024
Dot,Destiny's Child,Charlie's Angels (Music from the Motion Picture),R&B/Soul,2000
Dirty Cash (Money Talks) [Sold Out 7 Inch Mix],The Adventures of Stevie V,Dirty Cash (Money Talks),Pop,1989
All Around the World,Lisa Stansfield,Affection (Deluxe),R&B/Soul,1989
Tears Dry On Their Own,Amy Winehouse,Back to Black,R&B/Soul,2006
Dangerously in Love 2,Beyoncé,Dangerously in Love,Pop,2003
Careless Whisper,George Michael,Make It Big,Pop,1984
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,Whitney,R&B/Soul,1987
II HANDS II HEAVEN,Beyoncé,COWBOY CARTER,R&B/Soul,2024
Schoolin' Life,Beyoncé,4 (Expanded Edition),Pop,2011
Missing (Todd Terry Remix),Everything But the Girl,Amplified Heart (Deluxe Edition),Pop,1994
Why Don't You Love Me,Beyoncé,I AM...SASHA FIERCE (Deluxe Version),Pop,2008
Hymn for the Weekend,Coldplay,A Head Full of Dreams,R&B/Soul,2015
I'm Your Baby Tonight,Whitney Houston,The Ultimate Collection,R&B/Soul,1990
You Don't Know My Name,Alicia Keys,The Diary of Alicia Keys,R&B/Soul,2003
Malibu,Miley Cyrus,Younger Now,Pop,2017
Soldier (feat. Lil Wayne & T.I.),Destiny's Child,#1's,R&B/Soul,2001
Check On It (feat. Bun B & Slim Thug),Beyoncé,B'Day (Deluxe),Pop,2006
La Isla Bonita,Madonna,Celebration (Deluxe Version),Pop,1986
"Independent Women, Pt. 1",Destiny's Child,Survivor (International Edition),R&B/Soul,2000
Show Me Love,WizTheMc & bees & honey,Show Me Love - Single,Pop,2025
Hold Up,Beyoncé,Lemonade,Pop,2016
Do for Love,2Pac,R U Still Down? (Remember Me),R&B/Soul,1997
Long Way 2 Go,Cassie,Cassie,R&B/Soul,2006
Me & U,Cassie,Cassie,R&B/Soul,2006
The Boys,Nicki Minaj & Cassie,Pink Friday: Roman Reloaded the Re-Up,R&B/Soul,2012
Bust Your Windows,Glee Cast,"Glee: The Music, Volume 1",Pop,2009
Ain't Nobody,Chaka Khan,"Epiphany: The Best of Chaka Khan, Vol. 1",R&B/Soul,1983
Moonlight,Kali Uchis,Red Moon In Venus,R&B/Soul,2023
Dead To Me,Kali Uchis,Isolation,R&B/Soul,2018
Through With Love,Destiny's Child,Destiny Fulfilled,Pop,2004
Type Dangerous,Mariah Carey,Type Dangerous - Single,Pop,2025
Love Me Not,Ravyn Lenae,Bird's Eye,R&B/Soul,2024
BIGGER,Beyoncé,The Lion King: The Gift,R&B/Soul,2019
Un-Break My Heart,Toni Braxton,Secrets (Remix Package),R&B/Soul,1996
Careless Whisper (Remastered),George Michael,Careless Whisper - EP,Pop,1984
